,AccidentPC,State
45,0.007188612606721932,SC
42,0.004212232096435424,OR
9,0.004209443939239778,CA
38,0.003449833287804727,NC
49,0.003288323906623503,UT
41,0.0032559491351648916,OK
32,0.0029297339025734924,NE
23,0.0028123758688277578,LA
28,0.0028081221033223634,MN
14,0.0026501218090660564,FL
48,0.0026181667851576805,TX
44,0.002478197277552658,RI
51,0.002286902421781007,VA
27,0.002223157241225595,MI
7,0.002192787013893304,AZ
47,0.002162406688269093,TN
52,0.002054902226102212,WA
15,0.0019985289947074113,GA
5,0.001862267861075678,AL
25,0.0017887753506798155,MD
10,0.0017752657688735202,CO
43,0.0017663671385596891,PA
37,0.0017616345726577211,NY
18,0.0016939754007937406,IL
11,0.0015959272814820855,CT
35,0.0014057595691454874,NJ
34,0.0013063744039435484,NH
26,0.001202321973841649,MA
40,0.0011971634220120974,OH
30,0.0011864053834856755,MO
12,0.0011531898547381305,DE
19,0.0011240602485814235,IN
22,0.0010730514528199686,KY
20,0.0008225587676296528,IA
33,0.0007939998157560276,NV
54,0.000757826163405016,WI
36,0.000599547305954484,NM
21,0.0005913655985129121,KS
29,0.0004992618750878296,MS
24,0.0003849175147377233,ME
53,0.0003138948148690069,WV
17,0.00025325410626236724,ID
50,0.00023434232727167847,VT
55,0.00021211413119862592,WY
8,0.00014518920358105633,AR
31,0.00011935254088298146,MT
46,1.7146673502473835e-05,SD
39,1.4193677013967238e-05,ND
6,3.3923143725575337e-07,AK
16,1.7579583212693445e-07,HI
